,full_date_time,config_name,latitude,longitude,elevation,year,month,day,hour,prod,peakpower
49,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,01,0.0,136.8
50,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,02,0.0,136.8
51,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,03,0.0,136.8
52,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,04,0.0,136.8
53,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,05,0.0,136.8
54,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,06,0.0,136.8
55,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,07,2.31739,136.8
56,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,08,33.54883,136.8
57,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,09,54.862269999999995,136.8
58,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,10,83.20723,136.8
59,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,11,87.4535,136.8
60,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,12,75.70649,136.8
61,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,13,72.75161,136.8
62,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,14,49.944309999999994,136.8
63,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,15,5.318779999999999,136.8
64,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,16,0.0,136.8
65,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,17,0.0,136.8
66,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,18,0.0,136.8
67,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,19,0.0,136.8
68,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,20,0.0,136.8
69,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,21,0.0,136.8
70,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,22,0.0,136.8
71,2020-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,03,23,0.0,136.8
72,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,00,0.0,136.8
73,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,01,0.0,136.8
74,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,02,0.0,136.8
75,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,03,0.0,136.8
76,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,04,0.0,136.8
77,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,05,0.0,136.8
78,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,06,0.0,136.8
79,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,07,3.27773,136.8
80,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,08,10.01102,136.8
81,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,09,15.16018,136.8
82,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,10,21.50359,136.8
83,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,11,26.522779999999997,136.8
84,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,12,66.75019,136.8
